id,sourceid,targetid,relation,prefixrelation
1,S002,P1266,hasOwner,ekc:hasOwner
2,S003,P1203,hasOwner,ekc:hasOwner
3,S004,P1203,hasOwner,ekc:hasOwner
4,S005,P1422,hasOwner,ekc:hasOwner
5,S006,P1203,hasOwner,ekc:hasOwner
6,S008,P1179,hasOwner,ekc:hasOwner
7,S009,P0854,hasOwner,ekc:hasOwner
8,S010,P1203,hasOwner,ekc:hasOwner
9,S011,P1189,hasOwner,ekc:hasOwner
10,S013,P1189,hasOwner,ekc:hasOwner
11,S014,P1004,hasOwner,ekc:hasOwner
12,S015,P1203,hasOwner,ekc:hasOwner
13,S017,P1203,hasOwner,ekc:hasOwner
14,S019,P1203,hasOwner,ekc:hasOwner
15,S021,P1203,hasOwner,ekc:hasOwner
16,S022,P1203,hasOwner,ekc:hasOwner
17,S023,P1203,hasOwner,ekc:hasOwner
18,S024,P1203,hasOwner,ekc:hasOwner
19,S026,P1203,hasOwner,ekc:hasOwner
20,S030,P1419,hasOwner,ekc:hasOwner
21,S033,P1203,hasOwner,ekc:hasOwner
22,S035,P1189,hasOwner,ekc:hasOwner
23,S036,P1203,hasOwner,ekc:hasOwner
24,S037,P1189,hasOwner,ekc:hasOwner
25,S038,P1203,hasOwner,ekc:hasOwner
26,S039,P1203,hasOwner,ekc:hasOwner
27,S041,P1203,hasOwner,ekc:hasOwner
28,S042,P1203,hasOwner,ekc:hasOwner
29,S044,P1266,hasOwner,ekc:hasOwner
30,S047,P1203,hasOwner,ekc:hasOwner
31,S049,P1203,hasOwner,ekc:hasOwner
32,S050,P0275,hasOwner,ekc:hasOwner
33,S051,P1203,hasOwner,ekc:hasOwner
34,S053,P1203,hasOwner,ekc:hasOwner
35,S054,P1203,hasOwner,ekc:hasOwner
36,S057,P1189,hasOwner,ekc:hasOwner
37,S058,P1203,hasOwner,ekc:hasOwner
38,S060,P1203,hasOwner,ekc:hasOwner
39,S060,P1466,hasOwner,ekc:hasOwner
40,S062,P1203,hasOwner,ekc:hasOwner
41,S063,P1203,hasOwner,ekc:hasOwner
42,S065,P1266,hasOwner,ekc:hasOwner
43,S066,P1047,hasOwner,ekc:hasOwner
44,S067,P1189,hasOwner,ekc:hasOwner
45,S070,P1203,hasOwner,ekc:hasOwner
46,S072,P1189,hasOwner,ekc:hasOwner
47,S073,P1687,hasOwner,ekc:hasOwner
48,S074,P1536,hasOwner,ekc:hasOwner
49,S076,P1203,hasOwner,ekc:hasOwner
50,S077,P1203,hasOwner,ekc:hasOwner
51,S078,P1189,hasOwner,ekc:hasOwner
52,S079,P1203,hasOwner,ekc:hasOwner
53,S081,P1203,hasOwner,ekc:hasOwner
54,S083,P1203,hasOwner,ekc:hasOwner
55,S084,P1189,hasOwner,ekc:hasOwner
56,S086,P1189,hasOwner,ekc:hasOwner
57,S089,P1647,hasOwner,ekc:hasOwner
58,S090,P1203,hasOwner,ekc:hasOwner
59,S093,P1417,hasOwner,ekc:hasOwner
60,S095,P1203,hasOwner,ekc:hasOwner
61,S096,P1266,hasOwner,ekc:hasOwner
62,S097,P0854,hasOwner,ekc:hasOwner
63,S099,P1179,hasOwner,ekc:hasOwner
64,S100,P1327,hasOwner,ekc:hasOwner
65,S105,P1203,hasOwner,ekc:hasOwner
66,S107,P1189,hasOwner,ekc:hasOwner
67,S108,P1203,hasOwner,ekc:hasOwner
68,S109,P1203,hasOwner,ekc:hasOwner
69,S110,P1203,hasOwner,ekc:hasOwner
70,S111,P1203,hasOwner,ekc:hasOwner
71,S113,P0725,hasOwner,ekc:hasOwner
72,S114,P1203,hasOwner,ekc:hasOwner
73,S115,P1189,hasOwner,ekc:hasOwner
74,S116,P1203,hasOwner,ekc:hasOwner
75,S117,P0756,hasOwner,ekc:hasOwner
76,S118,P1203,hasOwner,ekc:hasOwner
77,S122,P0812,hasOwner,ekc:hasOwner
78,S123,P1880,hasOwner,ekc:hasOwner
79,S128,P1203,hasOwner,ekc:hasOwner
80,S131,P1189,hasOwner,ekc:hasOwner
81,S132,P1057,hasOwner,ekc:hasOwner
82,S143,P0049,hasOwner,ekc:hasOwner
83,S149,P2048,hasOwner,ekc:hasOwner
84,S152,P1203,hasOwner,ekc:hasOwner
85,S153,P1390,hasOwner,ekc:hasOwner
86,S157,P1203,hasOwner,ekc:hasOwner
87,S158,P1203,hasOwner,ekc:hasOwner
88,S159,P1203,hasOwner,ekc:hasOwner
89,S160,P1203,hasOwner,ekc:hasOwner
90,S161,P1203,hasOwner,ekc:hasOwner
91,S164,P1189,hasOwner,ekc:hasOwner
92,S165,P1203,hasOwner,ekc:hasOwner
93,S170,P1417,hasOwner,ekc:hasOwner
94,S171,P1189,hasOwner,ekc:hasOwner
95,S172,P1203,hasOwner,ekc:hasOwner
96,S173,P1236,hasOwner,ekc:hasOwner
97,S174,P2164,hasOwner,ekc:hasOwner
98,S177,P0854,hasOwner,ekc:hasOwner
99,S178,P1203,hasOwner,ekc:hasOwner
100,S179,P1203,hasOwner,ekc:hasOwner
101,S180,P0788,hasOwner,ekc:hasOwner
102,S181,P1203,hasOwner,ekc:hasOwner
103,S183,P0824,hasOwner,ekc:hasOwner
104,S185,P1064,hasOwner,ekc:hasOwner
105,S186,P1240,hasOwner,ekc:hasOwner
106,S187,P1203,hasOwner,ekc:hasOwner
107,S190,P1203,hasOwner,ekc:hasOwner
108,S191,P1203,hasOwner,ekc:hasOwner
111,S196,P1203,hasOwner,ekc:hasOwner
112,S197,P1203,hasOwner,ekc:hasOwner
113,S198,P0788,hasOwner,ekc:hasOwner
114,S200,P1264,hasOwner,ekc:hasOwner
115,S202,P1202,hasOwner,ekc:hasOwner
116,S203,P0847,hasOwner,ekc:hasOwner
117,S206,P1189,hasOwner,ekc:hasOwner
118,S208,P1424,hasOwner,ekc:hasOwner
119,S212,P1203,hasOwner,ekc:hasOwner
120,S213,P1203,hasOwner,ekc:hasOwner
121,S213,P1466,hasOwner,ekc:hasOwner
122,S214,P1203,hasOwner,ekc:hasOwner
123,S214,P1466,hasOwner,ekc:hasOwner
124,S215,P1203,hasOwner,ekc:hasOwner
125,S216,P1203,hasOwner,ekc:hasOwner
126,S216,P1466,hasOwner,ekc:hasOwner
127,S218,P1203,hasOwner,ekc:hasOwner
128,S221,P1203,hasOwner,ekc:hasOwner
129,S222,P1203,hasOwner,ekc:hasOwner
130,S223,P1203,hasOwner,ekc:hasOwner
131,S224,P1203,hasOwner,ekc:hasOwner
132,S227,P1203,hasOwner,ekc:hasOwner
133,S228,P0795,hasOwner,ekc:hasOwner
134,S230,P1203,hasOwner,ekc:hasOwner
135,S231,P1203,hasOwner,ekc:hasOwner
136,S234,P0788,hasOwner,ekc:hasOwner
137,S236,P1819,hasOwner,ekc:hasOwner
138,S237,P1203,hasOwner,ekc:hasOwner
139,S238,P1236,hasOwner,ekc:hasOwner
140,S239,P1203,hasOwner,ekc:hasOwner
141,S241,P1203,hasOwner,ekc:hasOwner
142,S242,P0847,hasOwner,ekc:hasOwner
143,S245,P1417,hasOwner,ekc:hasOwner
144,S246,P1203,hasOwner,ekc:hasOwner
145,S250,P1773,hasOwner,ekc:hasOwner
146,S252,P1203,hasOwner,ekc:hasOwner
147,S254,P1057,hasOwner,ekc:hasOwner
148,S255,P1057,hasOwner,ekc:hasOwner
149,S256,P1057,hasOwner,ekc:hasOwner
150,S257,P1057,hasOwner,ekc:hasOwner
151,S259,P1203,hasOwner,ekc:hasOwner
152,S260,P1203,hasOwner,ekc:hasOwner
153,S261,P1203,hasOwner,ekc:hasOwner
154,S262,P1203,hasOwner,ekc:hasOwner
155,S264,P1203,hasOwner,ekc:hasOwner
156,S265,P0513,hasOwner,ekc:hasOwner
157,S266,P1203,hasOwner,ekc:hasOwner
158,S267,P1203,hasOwner,ekc:hasOwner
159,S268,P1203,hasOwner,ekc:hasOwner
160,S269,P0461,hasOwner,ekc:hasOwner
161,S270,P1203,hasOwner,ekc:hasOwner
162,S271,P1203,hasOwner,ekc:hasOwner
163,S272,P1236,hasOwner,ekc:hasOwner
164,S276,P0073,hasOwner,ekc:hasOwner
165,S276,P1203,hasOwner,ekc:hasOwner
166,S280,P1203,hasOwner,ekc:hasOwner
167,S283,P1266,hasOwner,ekc:hasOwner
168,S286,P1203,hasOwner,ekc:hasOwner
169,S291,P0962,hasOwner,ekc:hasOwner
170,S292,P1203,hasOwner,ekc:hasOwner
171,S298,P1189,hasOwner,ekc:hasOwner
172,S301,P1189,hasOwner,ekc:hasOwner
173,S302,P1203,hasOwner,ekc:hasOwner
174,S305,P1189,hasOwner,ekc:hasOwner
175,S310,P1203,hasOwner,ekc:hasOwner
176,S311,P0869,hasOwner,ekc:hasOwner
177,S312,P1203,hasOwner,ekc:hasOwner
178,S315,P1189,hasOwner,ekc:hasOwner
179,S316,P1203,hasOwner,ekc:hasOwner
180,S318,P1203,hasOwner,ekc:hasOwner
181,S319,P1203,hasOwner,ekc:hasOwner
182,S320,P1203,hasOwner,ekc:hasOwner
183,S322,P1203,hasOwner,ekc:hasOwner
184,S324,P1203,hasOwner,ekc:hasOwner
185,S326,P1203,hasOwner,ekc:hasOwner
186,S327,P0877,hasOwner,ekc:hasOwner
187,S328,P0864,hasOwner,ekc:hasOwner
188,S401,P1424,hasOwner,ekc:hasOwner
189,S402,P0788,hasOwner,ekc:hasOwner
190,S405,P1203,hasOwner,ekc:hasOwner
191,S410,P1189,hasOwner,ekc:hasOwner
192,S413,P1687,hasOwner,ekc:hasOwner
193,S416,P3101,hasOwner,ekc:hasOwner
194,S417,P1203,hasOwner,ekc:hasOwner
195,S419,P1203,hasOwner,ekc:hasOwner
196,S420,P1266,hasOwner,ekc:hasOwner
197,S421,P1203,hasOwner,ekc:hasOwner
198,S422,P0048,hasOwner,ekc:hasOwner
199,S423,P1203,hasOwner,ekc:hasOwner
200,S424,P1203,hasOwner,ekc:hasOwner
201,S426,P0036,hasOwner,ekc:hasOwner
202,S428,P1352,hasOwner,ekc:hasOwner
203,S442,P0122,hasOwner,ekc:hasOwner
204,S443,P1005,hasOwner,ekc:hasOwner
205,S444,P0122,hasOwner,ekc:hasOwner
206,S445,P1203,hasOwner,ekc:hasOwner
